Date,sanmc,bbvamc,sabmc,bktmc
2010-07-27,5.524687999999999,6.503223,2.081274,2.886494
2010-07-28,5.529997,6.469346,2.085525,2.892969
2010-07-29,5.439842,6.4447529999999995,2.082691,2.945316
2010-07-30,5.285553,6.358615,2.060037,2.869542
2010-08-02,5.562797,6.592428999999999,2.102518,2.994177
2010-08-03,5.581616,6.6385369999999995,2.1383919999999996,3.0709459999999997
2010-08-04,5.562797,6.620092999999999,2.125649,3.048019
2010-08-05,5.578951999999999,6.595502000000001,2.124232,3.025585
2010-08-06,5.433751999999999,6.463197,2.099684,2.996166
2010-08-09,5.5224779999999996,6.540108,2.109124,3.025084
2010-08-10,5.466017,6.506295,2.0770310000000003,2.9817099999999996
2010-08-11,5.226189,6.207879,1.97318,2.824172
2010-08-12,5.208986,6.15866,1.9448509999999999,2.795757
2010-08-13,5.108429,6.082372,1.9203029999999999,2.73843
2010-08-16,5.078851,6.0294550000000005,1.903309,2.72198
2010-08-17,5.122408,6.121742,1.942018,2.761859
2010-08-18,5.127248000000001,6.13097,1.932577,2.7469040000000002
2010-08-19,5.027768,6.049149,1.900953,2.6880740000000003
2010-08-20,4.940656,5.94947,1.858471,2.610804
2010-08-23,5.056807,6.048527,1.871215,2.635728
2010-08-24,4.937971,5.924862,1.8221189999999998,2.552978
2010-08-25,4.8250459999999995,5.759359,1.785775,2.49764
2010-08-26,4.910008,5.807963,1.793321,2.5140919999999998
2010-08-27,4.953026,5.849186,1.8070119999999998,2.5469939999999998
2010-08-30,4.9487239999999995,5.844882,1.800875,2.564441
2010-08-31,4.972383,5.854724,1.800875,2.557957
2010-09-01,5.210057,6.114358,1.8745180000000001,2.697047
2010-09-02,5.194463,6.08483,1.8716849999999998,2.706022
2010-09-03,5.2762,6.138354,1.883489,2.72198
2010-09-06,5.2735129999999995,6.1408190000000005,1.886322,2.741915
2010-09-07,5.185326,6.007306,1.833446,2.638226
2010-09-08,5.267056,6.060221,1.839113,2.6397209999999998
2010-09-09,5.336965,6.177116000000001,1.892929,2.719482
2010-09-10,5.333734,6.17096,1.8764049999999999,2.68708
2010-09-13,5.363849,6.275558,1.888209,2.749393
2010-09-14,5.396114,6.28786,1.888209,2.7339439999999997
2010-09-15,5.343955,6.247873,1.874049,2.704526
2010-09-16,5.3073879999999996,6.2324910000000004,1.8669639999999998,2.6825930000000002
2010-09-17,5.199841999999999,6.155579,1.8089060000000001,2.594353
2010-09-20,5.2735129999999995,6.269403,1.8089060000000001,2.627256
2010-09-21,5.238019,6.297088,1.800875,2.610303
2010-09-22,5.088533999999999,6.21403,1.7687810000000002,2.5584580000000003
2010-09-23,4.990664,6.195572,1.740452,2.52655
2010-09-24,5.12994,6.3463080000000005,1.774918,2.602332
2010-09-27,5.039598000000001,6.235564,1.7480060000000002,2.6252590000000002
2010-09-28,5.017015,6.164808,1.746119,2.57491
2010-09-29,4.976146,6.047912,1.720632,2.5800520000000002
2010-09-30,5.010027,6.094059,1.734315,2.5724810000000002
2010-10-01,4.893337,5.999927,1.6956069999999999,2.5426990000000003
2010-10-04,4.8992510000000005,5.936554,1.6956069999999999,2.525277
2010-10-05,5.0896099999999995,6.137124,1.7305419999999998,2.588839
2010-10-06,5.102511,6.139585,1.746589,2.60371
2010-10-07,5.114879,6.10944,1.7413990000000001,2.593968
2010-10-08,5.057883,6.090363,1.727239,2.5708990000000003
2010-10-11,5.03852,6.0460650000000005,1.702221,2.5375799999999997
2010-10-12,4.99819,6.02495,1.675787,2.490412
2010-10-13,5.154672,6.16781,1.6904169999999998,2.504253
2010-10-14,5.121874,6.064076,1.6743700000000001,2.476063
2010-10-15,5.164283999999999,6.136749,1.67956,2.4857970000000003
2010-10-18,5.197508999999999,6.161594999999999,1.691834,2.488874
2010-10-19,5.240003,6.200727,1.705525,2.558081
2010-10-20,5.2367349999999995,6.205074,1.685227,2.557059
2010-10-21,5.213307,6.087059,1.677673,2.613961
2010-10-22,5.245992,6.0727709999999995,1.685227,2.591407
2010-10-25,5.14848,6.001967,1.6564290000000002,2.575513
2010-10-26,5.082569,5.983955,1.6535950000000001,2.532966
2010-10-27,5.000854,5.833639,1.647458,2.4914419999999997
2010-10-28,4.982874,5.801341000000001,1.6446319999999999,2.465805
2010-10-29,5.028637000000001,5.869665,1.6498220000000001,2.454532
2010-11-01,4.876653,5.658484,1.612053,2.38994
2010-11-02,4.90661,5.722453,1.621024,2.414546
2010-11-03,4.733923,5.52494,1.587513,2.362256
2010-11-04,4.754626999999999,5.484566,1.575709,2.363794
2010-11-05,4.630424,5.414504,1.519536,2.3033
2010-11-08,4.624973000000001,5.333691,1.507732,2.267413
2010-11-09,4.7121319999999995,5.413209999999999,1.537947,2.3304669999999996
2010-11-10,4.57377,5.266454,1.521893,2.2838220000000002
2010-11-11,4.5541529999999995,5.227015,1.5124520000000001,2.254086
2010-11-12,4.644585,5.377007,1.557767,2.339187
2010-11-15,4.7263,5.446183,1.574292,2.36943
2010-11-16,4.578667,5.2916669999999995,1.545501,2.310474
2010-11-17,4.671822,5.3142949999999995,1.5591840000000001,2.333544
2010-11-18,4.732288,5.391876,1.570989,2.3530290000000003
2010-11-19,4.64676,5.340154,1.52284,2.311505
2010-11-22,4.459369000000001,5.133273,1.458636,2.214616
2010-11-23,4.248548,4.932856,1.44684,2.160273
2010-11-24,4.2599860000000005,4.977464,1.45203,2.194107
2010-11-25,4.2599860000000005,5.00397,1.455333,2.170016
2010-11-26,4.103098,4.884367,1.444006,2.1223400000000003
2010-11-29,3.9936019999999997,4.6736059999999995,1.4161549999999998,2.061845
2010-11-30,3.9767129999999997,4.575336,1.411905,1.996737
2010-12-01,4.261623,4.908935,1.458167,2.10593
2010-12-02,4.480616,5.112585,1.503482,2.215123
2010-12-03,4.54326,5.177235,1.519059,2.222812
2010-12-06,4.441934,5.0266,1.505376,2.183857
2010-12-07,4.412518,5.016902,1.503012,2.153098
2010-12-08,4.517654,5.165598999999999,1.5502209999999998,2.2084639999999998
2010-12-09,4.6271510000000005,5.271626,1.567685,2.281254
2010-12-10,4.521469000000001,5.201802,1.5365309999999999,2.245373
2010-12-13,4.530730999999999,5.179821,1.528507,2.232555
2010-12-14,4.558512,5.165598999999999,1.5138690000000001,2.239729
2010-12-15,4.438122,5.06345,1.4883819999999999,2.192054
2010-12-16,4.434309,5.042762000000001,1.483184,2.181288
2010-12-17,4.344423,4.906994999999999,1.457227,2.11465
2010-12-20,4.385281,4.985221,1.527013,2.1556580000000003
2010-12-21,4.51112,5.138445,1.528501,2.247934
2010-12-22,4.449562,5.110644000000001,1.517102,2.260753
2010-12-23,4.4283150000000004,5.049226,1.5091709999999998,2.255625
2010-12-27,4.29812,4.932856,1.479427,2.159757
2010-12-28,4.314466,4.919925,1.479427,2.166424
2010-12-29,4.359135,4.954837,1.481909,2.2084639999999998
2010-12-30,4.318825,4.8876,1.462086,2.130536
2011-01-03,4.341157,4.91346,1.467042,2.149565
2011-01-04,4.350963,4.91346,1.474472,2.13496
2011-01-05,4.322637,4.8507489999999995,1.465554,2.1391310000000003
2011-01-06,4.232751,4.746015,1.444243,2.094782
2011-01-07,4.140142,4.62641,1.414007,2.024347
2011-01-10,4.0290099999999995,4.530818,1.389721,1.95183
2011-01-11,4.097104,4.62903,1.395178,2.036352
2011-01-12,4.488787,5.086695,1.521556,2.236701
2011-01-13,4.703961,5.408174,1.6107690000000001,2.3462650000000003
